SubRankRef,bill_type,CumSServ,Postal,IntrDate,house_passage,Private,summary,introduced_date,DW1,PassS,Delegate,cosponsors_by_party,actions,active,title,Minor,PLawDate,committee_codes,URL,summary_short,BillNum,Gender,CumHServ,District,MRef,cosponsors,presidential_statements,vetoed,short_title,sponsor,latest_major_action_date,PLaw,PassH,last_vote,congressdotgov_url,Major_desc,sponsor_title,Cong,Majority,ComC,MemberID,Title,Mult,withdrawn_cosponsors,congress,bill,versions,votes,enacted,house_passage_vote,sponsor_id,senate_passage_vote,Chamber,primary_subject,gpo_pdf_uri,govtrack_url,latest_major_action,BillType,NameLast,subcommittee_codes,idx,ReportH,RankRef,cbo_estimate_url,Veto,NameFirst,FrstConH,PLawNum,ImpBill,bill_id,State,SubChRef,Party,Class,NameFull,bill_uri,ReportS,committees,ComR,ChRef,sponsor_party,FrstConS,Minor_desc,number,BillID,sponsor_uri,senate_passage,Cosponsr,MultNo,Major,PooleID,bill_slug,sponsor_state
0.0,hconres,0.0,TX,2013-01-03,,0,"Expresses the sense of Congress that a commemorative postage stamp should be issued in honor of George Thomas ""Mickey"" Leland.",2013-01-03,"-0,468",0,0,{},"[{'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-01-03', 'description': 'Referred to the House Committee on Oversight and Government Reform.'}]",False,"Expressing the sense of Congress that a commemorative postage stamp should be issued in honor of George Thomas ""Mickey"" Leland.",,,['HSGO'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/2,"Expresses the sense of Congress that a commemorative postage stamp should be issued in honor of George Thomas ""Mickey"" Leland.",2,1,7304.0,18.0,0,0,[],,"Expressing the sense of Congress that a commemorative postage stamp should be issued in honor of George Thomas ""Mickey"" Leland.",Sheila Jackson Lee,2013-01-03,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/2,,Rep.,113,0,0.0,29573-113-100,"Expressing the sense of Congress that a commemorative postage stamp should be issued in honor of George Thomas """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Mickey"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Leland.",0.0,0,113,H.CON.RES.2,[],[],,,J000032,,0,Congress,,https://www.govtrack.us/congress/bills/113/hconres2,Referred to the House Committee on Oversight and Government Reform.,hconres,Jackson Lee,[],hconres2,0,0,,0,Sheila,0.0,,0.0,hconres2-113,49,0.0,100.0,,Sheila Jackson Lee,https://api.propublica.org/congress/v1/113/bills/hconres2.json,0,House Oversight and Reform Committee,0.0,0,D,0.0,,H.CON.RES.2,113-HCONRES-2,https://api.propublica.org/congress/v1/members/J000032.json,,0.0,1.0,,29573.0,hconres2,TX
0.0,hconres,0.0,MN,2013-01-03,,0,"Authorizes the use of Emancipation Hall in the Capitol Visitor Center on March 21, 2013, for an event to celebrate the Mississippi River and its status as a vital resource of the United States and an indelible component of the nation's environment, economy, cultural heritage, and history. ",2013-01-03,"-0,281",0,0,{'D': 6},"[{'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-01-03', 'description': 'Referred to the House Committee on House Administration.'}]",False,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the Mississippi River and its status as a vital resource of the United States.,,,['HSHA'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/5,"Authorizes the use of Emancipation Hall in the Capitol Visitor Center on March 21, 2013, for an event to celebrate the Mississippi River and its status as a vital resource of the United States and an indelible component of the nation's environment, economy, cultural heritage, and history. ",5,0,2921.0,1.0,0,6,[],,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the Mississippi River and its status as a vital resource of the United States.,Tim Walz,2013-01-03,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/5,,Rep.,113,0,0.0,20726-113-100,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the Mississippi River and its status as a vital resource of the United States.,0.0,0,113,H.CON.RES.5,[],[],,,W000799,,0,Congress,,https://www.govtrack.us/congress/bills/113/hconres5,Referred to the House Committee on House Administration.,hconres,Walz,[],hconres5,0,0,,0,Timothy,0.0,,0.0,hconres5-113,33,0.0,100.0,,Timothy Walz,https://api.propublica.org/congress/v1/113/bills/hconres5.json,0,House House Administration Committee,0.0,0,D,0.0,,H.CON.RES.5,113-HCONRES-5,https://api.propublica.org/congress/v1/members/W000799.json,,6.0,1.0,,20726.0,hconres5,MN
0.0,hconres,0.0,OH,2013-01-04,,0,"Expresses the sense of Congress that the Supreme Court misinterpreted the First Amendment to the Constitution in the case of Buckley v. Valeo because the decision failed to recognize: (1) that the unlimited spending of large amounts of money on elections has a corrosive effect on the electoral process not simply because of direct transactions between those who give large amounts of money and candidates and elected officials but because the presence of unlimited amounts of money corrupts the process on a more fundamental level; and (2) other legitimate state interests which justify limiting money in campaigns, including the need to preserve the integrity of our republican form of government, restore public confidence in government, and ensure all citizens a more equal opportunity to participate in the political process. ",2013-01-04,"-0,398",0,0,{},"[{'id': 2, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-01-25', 'description': 'Referred to the Subcommittee on the Constitution And Civil Justice.'}, {'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-01-04', 'description': 'Referred to the House Committee on the Judiciary.'}]",False,Expressing the sense of Congress that the Supreme Court misinterpreted the First Amendment to the Constitution in the case of Buckley v. Valeo.,,,['HSJU'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/6,Expresses the sense of Congress that the Supreme Court misinterpreted the First Amendment to the Constitution in the case of Buckley v. Valeo because the decision failed to recognize: (1) that the unlimited spending of large amounts of money on elections has a corrosive effect on the electoral process not simply because of direct transactions between those who give large amounts of money and candidates and elected officials but because the presence of unlimited amounts of money corrupts the p...,6,1,11688.0,9.0,0,0,[],,Expressing the sense of Congress that the Supreme Court misinterpreted the First Amendment to the Constitution in the case of Buckley v. Valeo.,Marcy Kaptur,2013-01-25,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/6,,Rep.,113,0,0.0,15029-113-100,Expressing the sense of Congress that the Supreme Court misinterpreted the First Amendment to the Constitution in the case of Buckley v. Valeo.,0.0,0,113,H.CON.RES.6,[],[],,,K000009,,0,Government Operations and Politics,,https://www.govtrack.us/congress/bills/113/hconres6,Referred to the Subcommittee on the Constitution And Civil Justice.,hconres,Kaptur,['HSJU10'],hconres6,0,0,,0,Marcy,0.0,,0.0,hconres6-113,24,0.0,100.0,,Marcy Kaptur,https://api.propublica.org/congress/v1/113/bills/hconres6.json,0,House Judiciary Committee,0.0,0,D,0.0,,H.CON.RES.6,113-HCONRES-6,https://api.propublica.org/congress/v1/members/K000009.json,,0.0,1.0,,15029.0,hconres6,OH
0.0,hconres,0.0,CA,2013-01-04,,0,"Recognizes the importance of foreign assistance programs in promoting national security, demonstrating the American people's humanitarian spirit, and improving U.S. credibility in world affairs. Expresses support for providing at least 1% of U.S. gross domestic product (GDP) each year for nonmilitary foreign assistance.",2013-01-04,"-0,694",0,0,{'D': 2},"[{'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-01-04', 'description': 'Referred to the House Committee on Foreign Affairs.'}]",False,"Expressing the sense of Congress that the United States should provide, on an annual basis, an amount equal to at least one percent of United States gross domestic product (GDP) for nonmilitary foreign assistance programs.",,,['HSFA'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/7,"Recognizes the importance of foreign assistance programs in promoting national security, demonstrating the American people's humanitarian spirit, and improving U.S. credibility in world affairs. Expresses support for providing at least 1% of U.S. gross domestic product (GDP) each year for nonmilitary foreign assistance.",7,1,6570.0,13.0,0,2,[],,"Expressing the sense of Congress that the United States should provide, on an annual basis, an amount equal to at least one percent of United States gross domestic product (GDP) for nonmilitary foreign assistance programs.",Barbara Lee,2013-01-04,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/7,,Rep.,113,0,0.0,29778-113-100,"Expressing the sense of Congress that the United States should provide, on an annual basis, an amount equal to at least one percent of United States gross domestic product (GDP) for nonmilitary foreign assistance programs.",0.0,0,113,H.CON.RES.7,[],[],,,L000551,,0,International Affairs,,https://www.govtrack.us/congress/bills/113/hconres7,Referred to the House Committee on Foreign Affairs.,hconres,Lee,[],hconres7,0,0,,0,Barbara,0.0,,0.0,hconres7-113,71,0.0,100.0,,Barbara Lee,https://api.propublica.org/congress/v1/113/bills/hconres7.json,0,House Foreign Affairs Committee,0.0,0,D,0.0,,H.CON.RES.7,113-HCONRES-7,https://api.propublica.org/congress/v1/members/L000551.json,,2.0,1.0,,29778.0,hconres7,CA
0.0,hconres,0.0,TX,2013-02-12,,0,"Recognizes the 104th anniversary of the founding of the National Association for the Advancement of Colored People (NAACP). Honors the NAACP for its work to ensure the political, educational, social, and economic equality of all persons.",2013-02-12,"-0,383",0,0,{'D': 42},"[{'id': 2, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-04-15', 'description': 'Referred to the Subcommittee on the Constitution And Civil Justice.'}, {'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-02-12', 'description': 'Referred to the House Committee on the Judiciary.'}]",False,Honoring and praising the National Association for the Advancement of Colored People on the occasion of its 104th anniversary.,,,['HSJU'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/12,"Recognizes the 104th anniversary of the founding of the National Association for the Advancement of Colored People (NAACP). Honors the NAACP for its work to ensure the political, educational, social, and economic equality of all persons.",12,0,3651.0,9.0,0,42,[],,Honoring and praising the National Association for the Advancement of Colored People on the occasion of its 104th anniversary.,Al Green,2013-04-15,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/12,,Rep.,113,0,0.0,20529-113-100,Honoring and praising the National Association for the Advancement of Colored People on the occasion of its 104th anniversary.,0.0,0,113,H.CON.RES.12,[],[],,,G000553,,0,"Civil Rights and Liberties, Minority Issues",,https://www.govtrack.us/congress/bills/113/hconres12,Referred to the Subcommittee on the Constitution And Civil Justice.,hconres,Green,['HSJU10'],hconres12,0,0,,0,Al,0.0,,0.0,hconres12-113,49,0.0,100.0,,Al Green,https://api.propublica.org/congress/v1/113/bills/hconres12.json,0,House Judiciary Committee,0.0,0,D,0.0,,H.CON.RES.12,113-HCONRES-12,https://api.propublica.org/congress/v1/members/G000553.json,,42.0,1.0,,20529.0,hconres12,TX
0.0,hconres,0.0,VI,2013-02-13,,0," Expresses the sense of Congress that the United States Fish and Wildlife Service (USFWS) should incorporate consideration of the effects of global warming and sea-level rise into the comprehensive conservation plan for each coastal national wildlife refuge. Calls for such plans to address how global warming and sea-level rise will affect: (1) the ecological integrity, archaeological and cultural values, and distribution, migration patterns, and abundance of fish, wildlife, and plant populations and related habitats of the refuge; (2) areas within the refuge that are suitable for use as administrative sites or visitor facilities; and (3) opportunities for compatible wildlife-dependent recreational uses of the refuge.  Calls for the Director of the USFWS to conduct an assessment of the potential impacts of global warming and sea-level rise on coastal national wildlife refuges.",2013-02-13,"-0,4",0,1,{},"[{'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-02-13', 'description': 'Referred to the House Committee on Natural Resources.'}]",False,"Expressing the sense of the Congress that the United States Fish and Wildlife Service should incorporate consideration of global warming and sea-level rise into the comprehensive conservation plans for coastal national wildlife refuges, and for other purposes.",,,['HSII'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/13," Expresses the sense of Congress that the United States Fish and Wildlife Service (USFWS) should incorporate consideration of the effects of global warming and sea-level rise into the comprehensive conservation plan for each coastal national wildlife refuge. Calls for such plans to address how global warming and sea-level rise will affect: (1) the ecological integrity, archaeological and cultural values, and distribution, migration patterns, and abundance of fish, wildlife, and plant populati...",13,1,6570.0,0.0,0,0,[],,"Expressing the sense of the Congress that the United States Fish and Wildlife Service should incorporate consideration of global warming and sea-level rise into the comprehensive conservation plans for coastal national wildlife refuges, and for other purp",Donna M.C. Christensen,2013-02-13,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/13,,Del.,113,0,0.0,0-113-100,"Expressing the sense of the Congress that the United States Fish and Wildlife Service should incorporate consideration of global warming and sea-level rise into the comprehensive conservation plans for coastal national wildlife refuges, and for other purposes.",0.0,0,113,H.CON.RES.13,[],[],,,C000380,,0,Public Lands and Natural Resources,,https://www.govtrack.us/congress/bills/113/hconres13,Referred to the House Committee on Natural Resources.,hconres,Christensen,[],hconres13,0,0,,0,Donna,0.0,,0.0,hconres13-113,0,0.0,100.0,,Donna Christensen,https://api.propublica.org/congress/v1/113/bills/hconres13.json,0,House Natural Resources Committee,0.0,0,D,0.0,,H.CON.RES.13,113-HCONRES-13,https://api.propublica.org/congress/v1/members/C000380.json,,0.0,1.0,,0.0,hconres13,VI
0.0,hconres,0.0,OH,2013-02-15,,0,"Expresses the sense of Congress that a National Voting Rights Act Mobilization Day should be designated to remind all Americans of the critical role that the Voting Rights Act of 1965 continues to play in protecting the right to vote, and to be an occasion for them to voice their support for this landmark civil rights law.",2013-02-15,"-0,543",0,0,{'D': 27},"[{'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-02-15', 'description': 'Referred to the House Committee on Oversight and Government Reform.'}]",False,"Expressing the sense of Congress that a day should be designated as ""National Voting Rights Act Mobilization Day"".",,,['HSGO'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/17,"Expresses the sense of Congress that a National Voting Rights Act Mobilization Day should be designated to remind all Americans of the critical role that the Voting Rights Act of 1965 continues to play in protecting the right to vote, and to be an occasion for them to voice their support for this landmark civil rights law.",17,1,2236.0,11.0,0,27,[],,"Expressing the sense of Congress that a day should be designated as ""National Voting Rights Act Mobilization Day"".",Marcia L. Fudge,2013-02-15,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/17,,Rep.,113,0,0.0,20941-113-100,"Expressing the sense of Congress that a day should be designated as """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""National Voting Rights Act Mobilization Day"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".",0.0,0,113,H.CON.RES.17,[],[],,,F000455,,0,"Civil Rights and Liberties, Minority Issues",,https://www.govtrack.us/congress/bills/113/hconres17,Referred to the House Committee on Oversight and Government Reform.,hconres,Fudge,[],hconres17,0,0,,0,Marcia,0.0,,0.0,hconres17-113,24,0.0,100.0,,Marcia Fudge,https://api.propublica.org/congress/v1/113/bills/hconres17.json,0,House Oversight and Reform Committee,0.0,0,D,0.0,,H.CON.RES.17,113-HCONRES-17,https://api.propublica.org/congress/v1/members/F000455.json,,27.0,1.0,,20941.0,hconres17,OH
0.0,hconres,0.0,MD,2013-02-26,2013-03-18,0,"(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Permits the Greater Washington Soap Box Derby Association to sponsor soap box derby races as a free public event on the Capitol grounds on June 15, 2013.",2013-02-26,"-0,321",1,0,"{'D': 6, 'R': 1}","[{'id': 17, 'chamber': 'Senate', 'action_type': 'Floor', 'datetime': '2013-03-22', 'description': 'Message on Senate action sent to the House.'}, {'id': 16, 'chamber': 'Senate', 'action_type': 'Floor', 'datetime': '2013-03-21', 'description': 'Resolution agreed to in Senate without amendment by Unanimous Consent. (consideration: CR S2232)'}, {'id': 15, 'chamber': 'Senate', 'action_type': 'IntroReferral', 'datetime': '2013-03-19', 'description': 'Received in the Senate.'}, {'id': 14, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'Motion to reconsider laid on the table Agreed to without objection.'}, {'id': 13, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'On motion to suspend the rules and agree to the resolution Agreed to by the Yeas and Nays: (2/3 required): 386 - 0 (Roll no. 78). (text: CR H1555)'}, {'id': 12, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'Considered as unfinished business. (consideration: CR H1558-1559)'}, {'id': 11, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.'}, {'id': 10, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'DEBATE - The House proceeded with forty minutes of debate on H. Con. Res. 19.'}, {'id': 9, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'Considered under suspension of the rules. (consideration: CR H1555-1556)'}, {'id': 8, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-18', 'description': 'Mr. Barletta moved to suspend the rules and agree to the resolution.'}, {'id': 7, 'chamber': 'House', 'action_type': 'Calendars', 'datetime': '2013-03-18', 'description': 'Placed on the House Calendar, Calendar No. 10.'}, {'id': 6, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-03-18', 'description': 'Reported by the Committee on Transportation and Infrastructure. H. Rept. 113-19.'}, {'id': 5, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-02-28', 'description': 'Subcommittee on Economic Development, Public Buildings and Emergency Management Discharged.'}, {'id': 4, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-02-28', 'description': 'Ordered to be Reported by Voice Vote.'}, {'id': 3, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-02-28', 'description': 'Committee Consideration and Mark-up Session Held.'}, {'id': 2, 'chamber': 'House', 'action_type': 'Committee', 'datetime': '2013-02-27', 'description': 'Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management.'}, {'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-02-26', 'description': 'Referred to the House Committee on Transportation and Infrastructure.'}]",True,Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby.,,,['HSPW'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/19,"(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Permits the Greater Washington Soap Box Derby Association to sponsor soap box derby races as a free public event on the Capitol grounds on June 15, 2013.",19,0,12416.0,5.0,0,7,[],,Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby.,Steny H. Hoyer,2013-03-22,0,1,2013-03-18,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/19,,Rep.,113,0,0.0,14873-113-100,Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby.,0.0,0,113,H.CON.RES.19,[],"[{'chamber': 'House', 'date': '2013-03-18', 'time': '19:10:00', 'roll_call': '78', 'question': 'On Motion to Suspend the Rules and Agree', 'result': 'Passed', 'total_yes': 386, 'total_no': 0, 'total_not_voting': 46, 'api_url': 'https://api.propublica.org/congress/v1/113/house/sessions/1/votes/78.json'}]",,2013-03-18,H000874,,0,Congress,,https://www.govtrack.us/congress/bills/113/hconres19,Message on Senate action sent to the House.,hconres,Hoyer,['HSPW13'],hconres19,1,0,,0,Steny,0.0,,0.0,hconres19-113,52,0.0,100.0,,Steny Hoyer,https://api.propublica.org/congress/v1/113/bills/hconres19.json,0,House Transportation and Infrastructure Committee,0.0,0,D,0.0,,H.CON.RES.19,113-HCONRES-19,https://api.propublica.org/congress/v1/members/H000874.json,,7.0,1.0,,14873.0,hconres19,MD
0.0,hconres,0.0,NJ,2013-03-04,2013-03-06,0,"(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Authorizes the use of the Capitol rotunda on April 17, 2013, for a ceremony to award the congressional gold medal to Professor Muhammad Yunus in recognition of his contributions to the fight against global poverty.",2013-03-04,"-0,516",1,0,{},"[{'id': 9, 'chamber': 'Senate', 'action_type': 'Floor', 'datetime': '2013-03-12', 'description': 'Message on Senate action sent to the House.'}, {'id': 8, 'chamber': 'Senate', 'action_type': 'Floor', 'datetime': '2013-03-11', 'description': 'Resolution agreed to in Senate without amendment by Unanimous Consent. (consideration: CR S1668)'}, {'id': 7, 'chamber': 'Senate', 'action_type': 'IntroReferral', 'datetime': '2013-03-07', 'description': 'Received in the Senate.'}, {'id': 6, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-06', 'description': 'Motion to reconsider laid on the table Agreed to without objection.'}, {'id': 5, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-06', 'description': 'On agreeing to the resolution Agreed to without objection. (text: CR H997)'}, {'id': 4, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-06', 'description': 'Considered by unanimous consent. (consideration: CR H997)'}, {'id': 3, 'chamber': 'House', 'action_type': 'Discharge', 'datetime': '2013-03-06', 'description': 'Committee on House Administration discharged.'}, {'id': 2, 'chamber': 'House', 'action_type': 'Floor', 'datetime': '2013-03-06', 'description': 'Mr. Harper asked unanimous consent to discharge from committee and consider.'}, {'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-03-04', 'description': 'Referred to the House Committee on House Administration.'}]",True,Permitting the use of the rotunda of the Capitol for a ceremony to award the Congressional Gold Medal to Professor Muhamad Yunus.,,,['HSHA'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/20,"(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Authorizes the use of the Capitol rotunda on April 17, 2013, for a ceremony to award the congressional gold medal to Professor Muhammad Yunus in recognition of his contributions to the fight against global poverty.",20,0,5841.0,12.0,0,0,[],,Permitting the use of the rotunda of the Capitol for a ceremony to award the Congressional Gold Medal to Professor Muhamad Yunus.,Rush Holt,2013-03-12,0,1,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/20,,Rep.,113,0,0.0,29923-113-100,Permitting the use of the rotunda of the Capitol for a ceremony to award the Congressional Gold Medal to Professor Muhamad Yunus.,0.0,0,113,H.CON.RES.20,[],[],,2013-03-06,H001032,,0,Congress,,https://www.govtrack.us/congress/bills/113/hconres20,Message on Senate action sent to the House.,hconres,Holt,[],hconres20,0,0,,0,Rush,0.0,,0.0,hconres20-113,12,0.0,100.0,,Rush Holt,https://api.propublica.org/congress/v1/113/bills/hconres20.json,0,House Committee on House Administration,0.0,0,D,0.0,,H.CON.RES.20,113-HCONRES-20,https://api.propublica.org/congress/v1/members/H001032.json,,0.0,1.0,,29923.0,hconres20,NJ
0.0,hconres,0.0,NJ,2013-03-06,,0,"Authorizes the use of the Capitol rotunda on April 17, 2013, for a ceremony to award the congressional gold medal to Doctor Muhammad Yunus in recognition of his contributions to the fight against global poverty. ",2013-03-06,"-0,516",0,0,{},"[{'id': 1, 'chamber': 'House', 'action_type': 'IntroReferral', 'datetime': '2013-03-06', 'description': 'Referred to the House Committee on House Administration.'}]",False,Permitting the use of the rotunda of the Capitol for a ceremony to award the Congressional Gold Medal to Doctor Muhammad Yunus.,,,['HSHA'],https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/22,"Authorizes the use of the Capitol rotunda on April 17, 2013, for a ceremony to award the congressional gold medal to Doctor Muhammad Yunus in recognition of his contributions to the fight against global poverty. ",22,0,5841.0,12.0,0,0,[],,Permitting the use of the rotunda of the Capitol for a ceremony to award the Congressional Gold Medal to Doctor Muhammad Yunus.,Rush Holt,2013-03-06,0,0,,https://www.congress.gov/bill/113th-congress/house-concurrent-resolution/22,,Rep.,113,0,0.0,29923-113-100,Permitting the use of the rotunda of the Capitol for a ceremony to award the Congressional Gold Medal to Doctor Muhammad Yunus.,0.0,0,113,H.CON.RES.22,[],[],,,H001032,,0,Congress,,https://www.govtrack.us/congress/bills/113/hconres22,Referred to the House Committee on House Administration.,hconres,Holt,[],hconres22,0,0,,0,Rush,0.0,,0.0,hconres22-113,12,0.0,100.0,,Rush Holt,https://api.propublica.org/congress/v1/113/bills/hconres22.json,0,House House Administration Committee,0.0,0,D,0.0,,H.CON.RES.22,113-HCONRES-22,https://api.propublica.org/congress/v1/members/H001032.json,,0.0,1.0,,29923.0,hconres22,NJ
